idDepartement, nomDepartement
1,Adygey
2,Altay
3,Amur
4,Arkhangel'sk
5,Astrakhan' 
6,Bashkortostan
7,Belgorod
8,Bryansk
9,Buryat
10,Chechnya
11,Chelyabinsk
12,Chukot
13,Chuvash 
14,Dagestan 
15,Gorno-Al
16,Ingush
17,Irkutsk
18,Ivanovo
19,Kabardin-Balkar
20,Karachay-Cherkess
21,Krasnodar 
22,Kemerovo
23,Kaluga 
24,Khabarovsk
25,Karelia
26,Khakass
27,Kalmyk 
28,Khanty-Mansiy
29,Kaliningrad 
30,Komi 
31,Kamchatka 
32,Kursk   
33,Kostroma
34,Kurgan
35,Kirov
36,Krasnoyarsk
37,Leningrad 
38,Lipetsk
39,Moscow City 
40,Mariy-El 
41,Magadan 
42,Murmansk
45,Mordovia
46,Moskva  
47,Novgorod
48,Nenets  
49,North Ossetia
50,Novosibirsk 
51,Nizhegorod  
52,Orenburg
53,Orel
54,Omsk 
55,Perm'   
56,Primor'ye
57,Pskov
58,Penza 
59,Rostov
60,Ryazan' 
61,Samara
62,Sakha 
63,Sakhalin
64,Smolensk
65,Saint Petersburg City 
66,Saratov
67,Stavropol'
68,Sverdlovsk
69,Tambov
70,Tomsk
71,Tula
72,Tatarstan
73,Tuva 
74,Tver' 
75,Tyumen'
76,Udmurt 
77,Ul'yanovsk
78,Volgograd 
79,Vladimir
80,Yamal-Nenets
81,Vologda 
82,Voronezh
83,Yaroslavl'  
84,Yevrey
85,Zabaykal'ye 